date | value
2011-01-03 | 3
2012-02-29 | 1
2009-01-02 | 0
2020-12-31 | 1000

# ---- FORMAT ERRORS ----
2011-01-03|3
2011-01-03 |3
2011-01-03| 3
2011-01-03 | 3 extra

# ---- INVALID HEADER CASE (should fail if strict) ----
date|value

# ---- INVALID DATES ----
2011-02-29 | 1
2011-04-31 | 2
2011-06-31 | 3
2011-09-31 | 4
2011-11-31 | 5
2025-13-01 | 1
2025-00-10 | 1
2025-01-00 | 1

# ---- LEAP YEAR EDGE CASES ----
1900-02-29 | 1
2000-02-29 | 1
2004-02-29 | 1
2001-02-29 | 1

# ---- VALUE ERRORS ----
2011-01-03 | -1
2011-01-03 | -42
2011-01-03 | 1001
2011-01-03 | 1000000
2011-01-03 | abc
2011-01-03 | 3.14.15

# ---- EDGE VALUES ----
2009-01-02 | 0
2009-01-02 | 0.0
2009-01-02 | 1000
2009-01-02 | 999.999

# ---- DATE FORMAT ERRORS ----
2011-1-03 | 1
2011-01-3 | 1
11-01-03 | 1
2011/01/03 | 1
20110103 | 1

# ---- WHITESPACE EDGE ----
 2011-01-03 | 3
2011-01-03 | 3 
2011-01-03 |    3

# ---- NONSENSE LINES ----
hello world
random text
|
| 3
2011-01-03 |
